num,name,units,lecture_days,l_begin,l_end,recitation_days,r_begin,r_end
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 10:30:00,2017-09-09 11:20:00,['FR'],2017-09-09 09:30:00,2017-09-09 10:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 10:30:00,2017-09-09 11:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 10:30:00,2017-09-09 11:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36217,Probability Theory and Random Processes,9.0,"['TU', 'TH']",2017-09-09 10:30:00,2017-09-09 11:50:00,[],,
36220,Engineering Statistics and Quality Control,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,[],,
36225,Introduction to Probability Theory,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,[],,
36225,Introduction to Probability Theory,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,[],,
36309,Experimental Design for Behavioral and Social Sciences,9.0,['TU'],2017-09-09 12:00:00,2017-09-09 13:20:00,['TH'],2017-09-09 12:00:00,2017-09-09 13:20:00
36309,Experimental Design for Behavioral and Social Sciences,9.0,['TU'],2017-09-09 12:00:00,2017-09-09 13:20:00,['TH'],2017-09-09 13:30:00,2017-09-09 14:50:00
36309,Experimental Design for Behavioral and Social Sciences,9.0,['TU'],2017-09-09 12:00:00,2017-09-09 13:20:00,['FR'],2017-09-09 12:00:00,2017-09-09 13:20:00
36309,Experimental Design for Behavioral and Social Sciences,9.0,['TU'],2017-09-09 12:00:00,2017-09-09 13:20:00,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00
36315,Statistical Graphics and Visualization,9.0,"['MO', 'WE']",2017-09-09 12:30:00,2017-09-09 13:20:00,['FR'],2017-09-09 12:30:00,2017-09-09 13:20:00
36315,Statistical Graphics and Visualization,9.0,"['MO', 'WE']",2017-09-09 12:30:00,2017-09-09 13:20:00,['FR'],2017-09-09 12:30:00,2017-09-09 13:20:00
36350,Statistical Computing,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,[],,
36350,Statistical Computing,9.0,"['TU', 'TH']",2017-09-09 09:00:00,2017-09-09 10:20:00,[],,
36401,Modern Regression,9.0,"['TU', 'TH']",2017-09-09 15:00:00,2017-09-09 16:20:00,[],,
36401,Modern Regression,9.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
36461,Special Topics: Statistical Methods in Epidemiology,9.0,"['TU', 'TH']",2017-09-09 10:30:00,2017-09-09 11:50:00,[],,
36601,Perspectives in Data Science I,6.0,"['MO', 'WE']",2017-09-09 10:30:00,2017-09-09 11:20:00,[],,
36607,Modern Regression,9.0,"['TU', 'TH']",2017-09-09 15:00:00,2017-09-09 16:20:00,[],,
36607,Modern Regression,9.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
36611,Professional Skills for Statisticians,6.0,['TU'],2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
